,댓글번호,댓글내용,답글수,코사인유사도,유클리디언,norm유클,맨해튼,norm맨해
93,94,당신이 할일은 부동산 정상화. 김현미 걷어내고 당신 임기초 집값으로 돌려놔 딴짓해서 망치지말고 이거나해,0.0,0.0,1.4142135623730956,0.10738678431360356,13.16934454656117,0.9999999999999963
104,105,"임기가1년 조금넘게 남은양반이 30년동안 할것을 한다니 우습다. 당장 앞에 놓인 추미애,김현미나 치워라.",0.0,0.0,1.4142135623730956,0.10738678431360356,13.169344546561174,0.9999999999999969
131,132,저 빙 ㅅ 은 유류세 이상해서 전기차 사라고 하겠지. 전기차를 잘 만들면 알아서 넘어간다. 어디서 국민을 농락해?,0.0,0.005924819500245304,1.4100178583973715,0.10839071573519113,12.952166333506511,0.9956573038058407
54,55,단 지금 북한이  핵미사일들로 저난리를 하는데 중립국해서 뭐지으면 그거 폭파하면 그떄의 대책상황을 만드시면될듯하네요,0.0,0.0,1.4142135623730954,0.10855273048505559,13.027894886234936,0.999999999999995
101,102,제발ㆍ  암것도 하지마세요   먼가 벌여놓고 마무리는 암것도 안하고  돈만 갖다 쏟아버리는데 ᆢ 정말  걱정된다규요ㅠ,0.0,0.0,1.4142135623730954,0.10945604460408948,12.920378837810276,1.0000000000000027
11,12,문재인 당신이야말고 대한민국의 일산화탄소와 같은 존재야. 너부터 없어져야 대한민국이 쾌적해진다.,0.0,0.026226902981396294,1.3955451243285568,0.10964750525233505,12.500258184645064,0.9821410293815279
32,33,30년을 일관되게? 5년을 일관되게 부동산정책을 개판쳐서 나라꼬라지가 개판 되었는데 30년을 일관되게? 자연을 다 훼손하려고? 조용히 있다가 퇴임하세요.,0.0,0.008564740089262973,1.4081443533322406,0.10964811918363618,12.785901395528152,0.9956010807908307
132,133,죄인이 개~놈씨키야!!!....네놈이 살겠다고 헌정질서를 파괴해???.....죽기 싫으면 죄를 짓지 말아야지!!!.......@@@@@,0.0,0.0,1.4142135623730954,0.10979562585825016,12.880418061452579,1.0
121,122,정치중립이나 제대로 하세요?어문 얘기하지 말고요. 그런데 탄소중립이 뭔지나 알고 떠드시는거에요?,0.0,0.0,1.4142135623730954,0.10979562585825016,12.880418061452579,1.0
25,26,말이나 행동이 다른 부류 ..문빠 코로나 젊은것들 술집에 천지다  .또 니편이라 안 막냐,0.0,0.0,1.4142135623730954,0.10979562585825016,12.880418061452579,1.0000000000000004
35,36,또 뭔 사고를 칠려고 틀을 마련한데....그냥 제발 가만히 둬라 다음 능력자들이 하게...,0.0,0.0,1.4142135623730954,0.10979562585825016,12.880418061452579,1.0000000000000007
43,44,무슨 헛소리고 ? 속 시끄러운거 정리 안하고 !하여튼 책임감 없다니까 그저 바라만 볼뿐 !,0.0,0.0,1.4142135623730954,0.10979562585825016,12.880418061452577,1.0000000000000002
117,118,현재 주가 올라가고 양산되고있는 중국산 차 수입할 생각이라면 하면 진짜 뇌구조 검사해봐야한다.,0.0,0.0,1.4142135623730954,0.10979562585825016,12.880418061452577,1.0
9,10,우리나라 원전 없애서 중국한테 에너지 의존하게 만들고싶어서 저러는거임 ㅋㅋ,0.0,0.0347805805608662,1.3894023315362145,0.11038175616846006,12.302107649657614,0.9773470334120153
77,78,닥치고꺼져라 뚱딴지같은딴소리하는거 더이상듣기싫다 저게대통령이냐? 탄소가 지근중하냐? 코로나핑계댔다 이젠 탄소핑계 옛다엿이나먹어라,0.0,0.0,1.4142135623730954,0.11112727329679097,12.726070931265557,1.0000000000000009
34,35,이거는 확진자 급증은 한마디도 안하고 나중에 발표해도 되는 뉴딜정책만 나불거라냐,0.0,0.0,1.4142135623730954,0.11112727329679097,12.726070931265557,1.0000000000000018
14,15,한치앞 부동산도 가름못하면서 30년씩이나 보나?ㅋㅋ 그냥 세금 쓸 궁리하는 거겠지ㅋㅋ,0.0,0.0,1.4142135623730954,0.11112727329679097,12.726070931265559,1.0000000000000018
39,40,뒤에수어서 원격정치하느라고생하네.총알받이앞세우고 자기는모르는척 국민의삶이야 난모른다는식으로 패척하는이중성 그냥가만히 있어라.제발,0.0,0.0,1.4142135623730954,0.11112727329679097,12.726070931265557,1.000000000000001
21,22,검찰 정치중립 시킨다더니 탄소중립한다고 지롤하고있네~ 도데체 4년동안 뭐하고 자빠진거냐? 재인아~,0.0,0.0,1.4142135623730954,0.11112727329679097,12.726070931265557,1.0000000000000013
136,137,"문재인의 신적폐~~문재인, 추미애, 윤성렬 모두 국정조사가 답이다.",0.0,0.02951482073201207,1.39318712258475,0.11242235813238662,12.165137067036792,0.981658080174217
76,77,죄인아디지라  쓰벙노마너가튼 쓰벙노믈  그네 신발련  때문에뽑아찌만  이  시벅띠끼가 더 나빵저끄튼 노마,0.0,0.0,1.4142135623730954,0.11256262594088304,12.56379327109718,1.000000000000002
122,123,발등에 불떨어졌는데 애써 외면하고 먼산만 보고있구나...발 잘라야할지도 모른다 이 문가노마,0.0,0.0,1.4142135623730954,0.11256262594088304,12.56379327109718,1.0000000000000029
87,88,주식뚜자해서 재미보나? 농업국가만든다고하고 탈원전하고 태양광하고 자꾸 망하는거만 골라하지?왜그러지?,0.0,0.0,1.4142135623730954,0.11256262594088304,12.563793271097182,1.0000000000000018
